CH,Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,AVL,W4AMC,145.190000,-,0.600000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Asheville Medical Corps [HAM LICENSE REQ],,,,
2,AVL,W4SKY,145.370000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Skyland Repeater [HAM LICENSE REQ],,,,
3,AVL,K4RDU,146.640000,-,0.600000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Blue Ridge Link [HAM LICENSE REQ],,,,
4,AVL,W4MOX,146.760000,-,0.600000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Mount Mitchell [HAM LICENSE REQ],,,,
5,AVL,W4BRB,147.000000,+,0.600000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Blue Ridge Parkway [HAM LICENSE REQ],,,,
6,AVL,NC4AB,147.360000,+,0.600000,Tone,167.9,167.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Appalachian Backbone [HAM LICENSE REQ],,,,
7,AVL,K4WNC,442.125000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Western NC Link [HAM LICENSE REQ],,,,
8,AVL,W4BRC,442.800000,+,5.000000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Buncombe Radio Club [HAM LICENSE REQ],,,,
9,AVL,NC4DMR,444.000000,+,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WNC DMR Network [HAM LICENSE REQ],,,,
20,AVL,2M SIMP,146.520000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,National Call Freq [HAM LICENSE REQ],,,,
21,AVL,2M EMER,146.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Emergency Simplex [HAM LICENSE REQ],,,,
22,AVL,440 SIM,446.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,National Call Freq [HAM LICENSE REQ],,,,
23,AVL,APRS,144.390000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,APRS Frequency [HAM LICENSE REQ],,,,
30,AVL,AFD DIS,154.070000,off,0.000000,Tone,179.9,179.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Asheville Fire Dispatch [LISTEN ONLY],,,,
31,AVL,AFD TAC1,154.130000,off,0.000000,Tone,179.9,179.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,AFD Tactical 1 [LISTEN ONLY],,,,
32,AVL,AFD TAC2,154.175000,off,0.000000,Tone,179.9,179.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,AFD Tactical 2 [LISTEN ONLY],,,,
33,AVL,BCFD DIS,453.125000,off,0.000000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Buncombe County Fire [LISTEN ONLY],,,,
34,AVL,BCFD TAC,453.175000,off,0.000000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Buncombe Fire Tactical [LISTEN ONLY],,,,
35,AVL,WNC FIRE,453.300000,off,0.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WNC Fire Mutual Aid [LISTEN ONLY],,,,
36,AVL,USFS,168.625000,off,0.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,4.0W,US Forest Service [LISTEN ONLY],,,,
37,AVL,MISSION,453.500000,off,0.000000,Tone,167.9,167.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Mission Hospital EMS [LISTEN ONLY],,,,
