CH,Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,CLT,W4BFB,145.150000,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Charlotte Repeater [HAM LICENSE REQ],,,,
2,CLT,W4SCC,145.270000,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,SCARC Repeater [HAM LICENSE REQ],,,,
3,CLT,W4BFB-2,146.700000,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,BFB Charlotte [HAM LICENSE REQ],,,,
4,CLT,W4QMQ,146.760000,-,0.600000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Queens City ARC [HAM LICENSE REQ],,,,
5,CLT,W4BFB-3,146.940000,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,BFB South Charlotte [HAM LICENSE REQ],,,,
6,CLT,N4VU,147.045000,+,0.600000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,UNC Charlotte [HAM LICENSE REQ],,,,
7,CLT,K4DZR,442.200000,+,5.000000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Mecklenburg ARC [HAM LICENSE REQ],,,,
8,CLT,W4BFB-7,442.600000,+,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,BFB UHF [HAM LICENSE REQ],,,,
9,CLT,NC4ML,444.100000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Mount Mitchell Link [HAM LICENSE REQ],,,,
20,CLT,2M SIMP,146.520000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,National Call Freq [HAM LICENSE REQ],,,,
21,CLT,2M EMER,146.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Emergency Simplex [HAM LICENSE REQ],,,,
22,CLT,440 SIM,446.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,National Call Freq [HAM LICENSE REQ],,,,
23,CLT,DMR TAC,446.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Digital Tactical [HAM LICENSE REQ],,,,
30,CLT,CFD DISP,154.160000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Charlotte Fire Dispatch [LISTEN ONLY],,,,
31,CLT,CFD TAC1,154.250000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,CFD Tactical 1 [LISTEN ONLY],,,,
32,CLT,CFD TAC2,154.280000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,CFD Tactical 2 [LISTEN ONLY],,,,
33,CLT,CFD TAC3,154.340000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,CFD Tactical 3 [LISTEN ONLY],,,,
34,CLT,CFD COMM,453.550000,off,0.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,4.0W,CFD Command [LISTEN ONLY],,,,
35,CLT,MECK F1,453.175000,off,0.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Mecklenburg Fire 1 [LISTEN ONLY],,,,
36,CLT,MECK F2,458.175000,off,0.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Mecklenburg Fire 2 [LISTEN ONLY],,,,
37,CLT,MEDIC DI,453.825000,off,0.000000,Tone,167.9,167.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,MEDIC Dispatch [LISTEN ONLY],,,,
38,CLT,MEDIC T1,453.875000,off,0.000000,Tone,167.9,167.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,MEDIC Tactical 1 [LISTEN ONLY],,,,
39,CLT,MEDIC T2,453.925000,off,0.000000,Tone,167.9,167.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,MEDIC Tactical 2 [LISTEN ONLY],,,,
40,CLT,MEDIC T3,458.825000,off,0.000000,Tone,167.9,167.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,MEDIC Tactical 3 [LISTEN ONLY],,,,
41,CLT,CMPD 1,460.425000,off,0.000000,DCS,054,054,054,NN,054,Tone->Tone,FM,5.00,,4.0W,Charlotte PD Channel 1 [LISTEN ONLY],,,,
42,CLT,CMPD 2,460.450000,off,0.000000,DCS,054,054,054,NN,054,Tone->Tone,FM,5.00,,4.0W,Charlotte PD Channel 2 [LISTEN ONLY],,,,
43,CLT,CMPD 3,460.475000,off,0.000000,DCS,054,054,054,NN,054,Tone->Tone,FM,5.00,,4.0W,Charlotte PD Channel 3 [LISTEN ONLY],,,,
44,CLT,CMPD TAC,460.500000,off,0.000000,DCS,054,054,054,NN,054,Tone->Tone,FM,5.00,,4.0W,CMPD Tactical [LISTEN ONLY],,,,
45,CLT,MCSO 1,453.750000,off,0.000000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Mecklenburg SO 1 [LISTEN ONLY],,,,
46,CLT,MCSO 2,453.800000,off,0.000000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Mecklenburg SO 2 [LISTEN ONLY],,,,
47,CLT,MCSO TAC,458.750000,off,0.000000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,MCSO Tactical [LISTEN ONLY],,,,
48,CLT,CATS OPS,460.275000,off,0.000000,Tone,151.4,151.4,023,NN,023,Tone->Tone,FM,5.00,,4.0W,CATS Bus Operations [LISTEN ONLY],,,,
49,CLT,CATS MNT,460.325000,off,0.000000,Tone,151.4,151.4,023,NN,023,Tone->Tone,FM,5.00,,4.0W,CATS Maintenance [LISTEN ONLY],,,,
50,CLT,STATE HP,154.905000,off,0.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,4.0W,NC State Highway Patrol [LISTEN ONLY],,,,
51,CLT,STATE EM,155.475000,off,0.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,4.0W,NC Emergency Management [LISTEN ONLY],,,,
52,CLT,COUNTY E,155.160000,off,0.000000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Mecklenburg Emergency [LISTEN ONLY],,,,
53,CLT,CLT AIR,118.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,4.0W,Charlotte Tower [LISTEN ONLY],,,,
54,CLT,CLT GND,121.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,4.0W,Charlotte Ground [LISTEN ONLY],,,,
55,CLT,APPROACH,119.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,4.0W,Charlotte Approach [LISTEN ONLY],,,,
56,CLT,ATIS,127.250000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,4.0W,Charlotte ATIS [LISTEN ONLY],,,,
57,CLT,UNICOM,122.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,4.0W,Airport UNICOM [LISTEN ONLY],,,,
58,CLT,INTEROP,154.265000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Regional Interop [LISTEN ONLY],,,,
59,CLT,TACALL,151.145000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Tactical Calling [LISTEN ONLY],,,,
60,CLT,VTAC1,151.1375000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,VTac 11 [LISTEN ONLY],,,,
61,CLT,VTAC2,154.4525000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,VTac 12 [LISTEN ONLY],,,,
