CH,Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
# HAM REPEATERS (2m/70cm, DMR, D-STAR)
1,DNV,W4CYA,145.110000,-,0.600000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Cabarrus ARC [HAM LICENSE REQ],,,,
2,DNV,W4OAX,145.250000,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Oak Ridge Repeater [HAM LICENSE REQ],,,,
3,DNV,W4VEC,145.430000,-,0.600000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Volunteer Examiner [HAM LICENSE REQ],,,,
4,DNV,K4RDU,146.640000,-,0.600000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Research Triangle [HAM LICENSE REQ],,,,
5,DNV,W4MON,146.820000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Monroe Repeater [HAM LICENSE REQ],,,,
6,DNV,K4LKN,147.105000,+,0.600000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Lake Norman ARC [HAM LICENSE REQ],,,,
7,DNV,W4SGO,442.250000,+,5.000000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Stanly County [HAM LICENSE REQ],,,,
8,DNV,W4LKN,442.775000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Lake Norman UHF [HAM LICENSE REQ],,,,
9,DNV,NC4EC,444.075000,+,5.000000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Emergency Coord [HAM LICENSE REQ],,,,

# HAM SIMPLEX
20,DNV,2M SIMP,146.520000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,National Call Freq [HAM LICENSE REQ],,,,
21,DNV,2M EMER,146.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Emergency Simplex [HAM LICENSE REQ],,,,
22,DNV,440 SIM,446.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,National Call Freq [HAM LICENSE REQ],,,,
23,DNV,DMR TAC,446.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Digital Tactical [HAM LICENSE REQ],,,,

# PUBLIC SAFETY (FIRE, EMS, POLICE, ETC.)
30,DNV,LFD DIS,154.280000,off,0.000000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Lincoln County Fire Dispatch [LISTEN ONLY],,,,
31,DNV,LFD TAC1,154.190000,off,0.000000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Lincoln Fire Tactical 1 [LISTEN ONLY],,,,
32,DNV,LFD TAC2,154.220000,off,0.000000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Lincoln Fire Tactical 2 [LISTEN ONLY],,,,
33,DNV,DVR FIRE,154.340000,off,0.000000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Denver Fire Department [LISTEN ONLY],,,,
34,DNV,CFCC F,460.550000,off,0.000000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Cabarrus Fire Coord [LISTEN ONLY],,,,
35,DNV,IREDELL,453.200000,off,0.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Iredell Fire/EMS [LISTEN ONLY],,,,
36,DNV,LAKE NOR,453.750000,off,0.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Lake Norman Fire [LISTEN ONLY],,,,
37,DNV,LCEMS DI,453.300000,off,0.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Lincoln County EMS Dispatch [LISTEN ONLY],,,,
38,DNV,LCEMS T1,453.350000,off,0.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Lincoln County EMS Tac 1 [LISTEN ONLY],,,,
39,DNV,LCEMS T2,453.400000,off,0.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Lincoln County EMS Tac 2 [LISTEN ONLY],,,,
40,DNV,CABARRUS,460.125000,off,0.000000,Tone,167.9,167.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Cabarrus County EMS [LISTEN ONLY],,,,
41,DNV,LCSO 1,453.100000,off,0.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Lincoln County SO 1 [LISTEN ONLY],,,,
42,DNV,LCSO 2,453.150000,off,0.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Lincoln County SO 2 [LISTEN ONLY],,,,
43,DNV,LCSO TAC,458.100000,off,0.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Lincoln SO Tactical [LISTEN ONLY],,,,
44,DNV,GASTON S,460.200000,off,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Gaston County SO [LISTEN ONLY],,,,
45,DNV,IREDELL,460.350000,off,0.000000,Tone,146.2,146.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Iredell County SO [LISTEN ONLY],,,,
46,DNV,CABR SO,460.450000,off,0.000000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Cabarrus County SO [LISTEN ONLY],,,,
47,DNV,NC SHWY,155.475000,off,0.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,4.0W,NC State Highway Patrol [LISTEN ONLY],,,,
48,DNV,NC WILD,155.340000,off,0.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,NC Wildlife Resources [LISTEN ONLY],,,,
49,DNV,LINCOLN,155.160000,off,0.000000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Lincoln County Emergency [LISTEN ONLY],,,,
50,DNV,GASTON,155.190000,off,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Gaston County Emergency [LISTEN ONLY],,,,
51,DNV,IREDELL,155.220000,off,0.000000,Tone,146.2,146.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Iredell County Emergency [LISTEN ONLY],,,,
52,DNV,CABARRUS,155.250000,off,0.000000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Cabarrus County Emergency [LISTEN ONLY],,,,
53,DNV,STATSVIL,154.860000,off,0.000000,Tone,146.2,146.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Statesville Police [LISTEN ONLY],,,,
54,DNV,MOORSVIL,460.075000,off,0.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Mooresville Police [LISTEN ONLY],,,,
55,DNV,HUNTERSV,453.775000,off,0.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Huntersville Police [LISTEN ONLY],,,,
56,DNV,CORNELIU,460.025000,off,0.000000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Cornelius Police [LISTEN ONLY],,,,
57,DNV,DAVIDSON,453.850000,off,0.000000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Davidson Police [LISTEN ONLY],,,,
58,DNV,VTAC11,151.1375000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,VTac 11 [LISTEN ONLY],,,,
59,DNV,VTAC12,154.4525000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,VTac 12 [LISTEN ONLY],,,,
60,DNV,UTAC41,453.2125000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,UTac 41 [LISTEN ONLY],,,,
61,DNV,UTAC42,458.2125000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,UTac 42 [LISTEN ONLY],,,,
62,DNV,TACALL,151.145000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Tactical Calling [LISTEN ONLY],,,,
63,DNV,8CALL,154.755000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,8-Call Interop [LISTEN ONLY],,,,
64,DNV,8TAC91,775.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,8-Tac 91 [LISTEN ONLY],,,,
65,DNV,8TAC92,800.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,8-Tac 92 [LISTEN ONLY],,,,
66,DNV,REGIONAL,453.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Regional Coordination [LISTEN ONLY],,,,
67,DNV,MUTUAL,453.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Mutual Aid [LISTEN ONLY],,,,
68,DNV,AIRPORT,122.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,4.0W,Lake Norman Airpark [LISTEN ONLY],,,,

# WEATHER (NOAA)
70,DNV,WX PRIM,162.475000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,NOAA Charlotte Weather [LISTEN ONLY],,,,
71,DNV,WX SEC,162.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,NOAA Weather Secondary [LISTEN ONLY],,,,
72,DNV,WX REG,162.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,NOAA Weather Regional [LISTEN ONLY],,,,
73,DNV,WX COV,162.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,NOAA Weather Coverage [LISTEN ONLY],,,,

# MARINE/AIR/PUBLIC SERVICE
80,DNV,VHF AIR,121.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,AM,8.33,,4.0W,Aviation Emergency [LISTEN ONLY],,,,
81,DNV,VHF PUB,151.280000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,VHF Public Service [LISTEN ONLY],,,,
82,DNV,RAILROAD,160.950000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Norfolk Southern [LISTEN ONLY],,,,

# FRS/GMRS
90,DNV,GMRS 15,462.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,General Mobile Radio [GMRS LICENSE REQ],,,,
91,DNV,FRS 1,462.562500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Family Radio Service [NO LICENSE],,,,

# [LEGACY] ADDITIONAL REPEATERS
100,DNV,W4BFB,145.150000,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Charlotte BFB [HAM LICENSE REQ] [LEGACY],,,,
101,DNV,KC4USV,146.940000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,USC Emergency Net [HAM LICENSE REQ] [LEGACY],,,,
102,DNV,KE4KFM,442.400000,+,5.000000,Tone,107.2,107.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Kannapolis Repeater [HAM LICENSE REQ] [LEGACY],,,,
103,DNV,W4AMC,145.190000,-,0.600000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Amateur Medical Corps [HAM LICENSE REQ] [LEGACY],,,,
104,DNV,N4LKN,444.300000,+,5.000000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Lake Norman Digital [HAM LICENSE REQ] [LEGACY],,,,
