CH,Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
# HAM REPEATERS (2m/70cm, GMRS, D-STAR)
1,WAX,W4BUZ,145.150000,-,0.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Waxhaw Repeater [HAM LICENSE REQ],,,,
2,UNI,N4UCO,145.470000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Union County ARES [HAM LICENSE REQ],,,,
3,CHR,W4BFB,146.640000,-,0.600000,Tone,162.2,162.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Charlotte Main [HAM LICENSE REQ],,,,
4,CHR,W4SKY,146.820000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Skywarn Emergency [HAM LICENSE REQ],,,,
5,MEK,KE4PCY,147.000000,+,0.600000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Mecklenburg County [HAM LICENSE REQ],,,,
6,CHR,W4BFB,147.165000,+,0.600000,Tone,162.2,162.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Charlotte Metro [HAM LICENSE REQ],,,,
7,CHR,W4BFB,442.275000,+,5.000000,Tone,162.2,162.2,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Charlotte 70cm [HAM LICENSE REQ],,,,
8,UNI,N4UCO,442.550000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Union County 70cm [HAM LICENSE REQ],,,,
9,WAX,W4WCS,449.100000,-,5.000000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Waxhaw Community [HAM LICENSE REQ],,,,

# HAM SIMPLEX
20,WAX,2M SIMP,146.520000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,National Call Freq [HAM LICENSE REQ],,,,
21,WAX,2M EMER,146.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Emergency Simplex [HAM LICENSE REQ],,,,
22,WAX,ARES,147.420000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,ARES Simplex [HAM LICENSE REQ],,,,
23,WAX,70CM SIM,446.000000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,70cm National Call [HAM LICENSE REQ],,,,

# PUBLIC SAFETY (FIRE, EMS, POLICE)
30,UNI,UCFD 1,155.835000,off,0.000000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Union County Fire Dispatch [LISTEN ONLY],,,,
31,UNI,UCFD 2,155.205000,off,0.000000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Union County Fire Ops [LISTEN ONLY],,,,
32,WAX,WAXFD,154.325000,off,0.000000,Tone,71.9,71.9,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Waxhaw Fire Dept [LISTEN ONLY],,,,
33,MEK,MEDIC 1,460.075000,off,0.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,MEDIC Dispatch [LISTEN ONLY],,,,
34,MEK,MEDIC 2,460.475000,off,0.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,MEDIC Tactical [LISTEN ONLY],,,,
35,UNI,UCEMS,155.340000,off,0.000000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Union County EMS [LISTEN ONLY],,,,
36,CHR,CFD 1,154.130000,off,0.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Charlotte Fire Dispatch [LISTEN ONLY],,,,
37,CHR,CFD 2,154.280000,off,0.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Charlotte Fire Ops [LISTEN ONLY],,,,
38,CHR,CFD 3,154.385000,off,0.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Charlotte Fire Tactical [LISTEN ONLY],,,,
39,LAN,LANFD,154.250000,off,0.000000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Lancaster County SC Fire [LISTEN ONLY],,,,
40,CHE,CHEFD,154.445000,off,0.000000,Tone,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Chester County SC Fire [LISTEN ONLY],,,,

# LAW ENFORCEMENT & REGIONAL
41,UNI,UCSO 1,155.070000,off,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Union County Sheriff Dispatch [LISTEN ONLY],,,,
42,UNI,UCSO 2,155.310000,off,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Union County Sheriff Ops [LISTEN ONLY],,,,
43,WAX,WAXPD,155.775000,off,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Waxhaw Police [LISTEN ONLY],,,,
44,MEK,CMPD 1,460.100000,off,0.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Charlotte Metro Police [LISTEN ONLY],,,,
45,MEK,CMPD 2,460.500000,off,0.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Charlotte Police Tactical [LISTEN ONLY],,,,
46,CHR,CLT TWR,118.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Charlotte Douglas Tower [LISTEN ONLY],,,,
47,CHR,CLT GND,121.900000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Charlotte Ground Control [LISTEN ONLY],,,,
48,CHR,CLT APP,119.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Charlotte Approach [LISTEN ONLY],,,,
49,UNI,MONROE,155.175000,off,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Monroe Police [LISTEN ONLY],,,,
50,UNI,STALK,154.800000,off,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Stallings Police [LISTEN ONLY],,,,
51,UNI,INDIAN,154.875000,off,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Indian Trail Police [LISTEN ONLY],,,,
52,LAN,LCSO,155.730000,off,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Lancaster County SC Sheriff [LISTEN ONLY],,,,
53,CHE,CCSO,155.820000,off,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Chester County SC Sheriff [LISTEN ONLY],,,,
54,NC,NCSHP,154.920000,off,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,NC State Highway Patrol [LISTEN ONLY],,,,
55,SC,SCHP,154.905000,off,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,SC Highway Patrol [LISTEN ONLY],,,,
56,FED,FBI INT,163.875000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Federal Interop [LISTEN ONLY],,,,
57,FED,DHS,406.175000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,DHS Operations [LISTEN ONLY],,,,

# INTEROPERABILITY & COORDINATION
58,REG,VTAC 1,151.175000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,VHF Tactical 1 [LISTEN ONLY],,,,
59,REG,VTAC 2,151.190000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,VHF Tactical 2 [LISTEN ONLY],,,,
60,REG,UTAC 1,453.462500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,UHF Tactical 1 [LISTEN ONLY],,,,
61,REG,UTAC 2,453.712500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,UHF Tactical 2 [LISTEN ONLY],,,,
62,REG,8CALL 1,154.740000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,8-Call System Ch 1 [LISTEN ONLY],,,,
63,REG,8CALL 2,154.755000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,8-Call System Ch 2 [LISTEN ONLY],,,,
64,REG,CLEMSON,151.955000,off,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Regional Coordination [LISTEN ONLY],,,,
65,REG,MEMA,155.475000,off,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,NC Emergency Management [LISTEN ONLY],,,,
66,REG,SCEMD,155.160000,off,0.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,SC Emergency Management [LISTEN ONLY],,,,
67,REG,MUTUAL,155.340000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Mutual Aid Coordination [LISTEN ONLY],,,,
68,REG,BORDER,406.200000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Border Region Coord [LISTEN ONLY],,,,

# WEATHER (NOAA)
70,WAX,WX1,162.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,NOAA Weather Charlotte [LISTEN ONLY],,,,
71,WAX,WX2,162.475000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,NOAA Weather Regional [LISTEN ONLY],,,,
72,WAX,WX3,162.525000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,NOAA Weather Secondary [LISTEN ONLY],,,,
73,WAX,SKYWARN,147.420000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,Skywarn Spotters [LISTEN ONLY],,,,

# TRANSPORTATION & PUBLIC SERVICE
80,CHR,CATS,460.675000,off,0.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Charlotte Area Transit [LISTEN ONLY],,,,
81,CHR,DOT,460.725000,off,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,NC DOT Highway Maintenance [LISTEN ONLY],,,,
82,CHR,UTIL,451.500000,off,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Utility Services [LISTEN ONLY],,,,

# FRS/GMRS
90,WAX,GMRS 15,462.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,General Mobile Radio [GMRS LICENSE REQ],,,,
91,WAX,FRS 1,462.562500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Family Radio Service [NO LICENSE],,,,

# [LEGACY] REPEATERS/UNLISTED
100,WAX,W4RFT,145.330000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,Legacy Repeater [HAM LICENSE REQ] [LEGACY],,,,
